id,lat,lon
0,37.6188055555556,-122.375416666667
1,36.0800438888889,-115.152234722222
2,33.6366996111111,-84.427864
3,39.8616666666667,-104.673166666667
4,33.9424963888889,-118.408048611111
5,32.8972330555556,-97.0376947222222
6,35.21375,-80.9490555555556
7,40.77725,-73.8726111111111
8,42.2124444444445,-83.3533888888889
9,28.4293888888889,-81.309
10,41.9769402777778,-87.9081497222222
11,40.7883933333333,-111.977773333333
12,29.9844352777778,-95.3414425
13,40.6924798333333,-74.1686867777778
14,44.8819722222222,-93.2217777777778
15,42.3629444444444,-71.0063888888889
16,33.4342777777778,-112.011583333333
